2021/01/17 01:40:51 [notice] 9340#1696: signal process started
2021/01/17 12:39:27 [error] 15092#13248: *35 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:27 [error] 15092#13248: *38 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:28 [error] 15092#13248: *39 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:28 [error] 15092#13248: *40 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:28 [error] 15092#13248: *41 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:29 [error] 15092#13248: *42 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:29 [error] 15092#13248: *43 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:29 [error] 15092#13248: *44 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:34 [error] 15092#13248: *45 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:34 [error] 15092#13248: *46 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
